182.006,-0.100
182.008,-0.100
182.011,-0.095
182.014,-0.060
182.017,-0.035
182.019,-0.030
182.022,-0.020
182.025,-0.015
182.028,0.035
182.031,0.075
182.033,0.115
182.036,0.175
182.039,0.225
182.042,0.295
182.044,0.380
182.047,0.485
182.050,0.565
182.053,0.630
182.056,0.700
182.058,0.740
182.061,0.810
182.064,0.885
182.067,0.960
182.069,1.025
182.072,1.060
182.075,1.135
182.078,1.200
182.081,1.265
182.083,1.340
182.086,1.430
182.089,1.510
182.092,1.595
182.094,1.660
182.097,1.720
182.100,1.740
182.103,1.770
182.106,1.795
182.108,1.815
182.111,1.835
182.114,1.845
182.117,1.815
182.119,1.735
182.122,1.580
182.125,1.310
182.128,0.950
182.131,0.575
182.133,0.310
182.136,0.130
182.139,0.005
182.142,-0.050
182.144,-0.100
182.147,-0.150
182.150,-0.210
182.153,-0.285
182.156,-0.355
182.158,-0.380
182.161,-0.430
182.164,-0.460
182.167,-0.475
182.169,-0.470
182.172,-0.500
182.175,-0.525
182.178,-0.540
182.181,-0.530
182.183,-0.520
182.186,-0.545
182.189,-0.550
182.192,-0.585
182.194,-0.575
182.197,-0.580
182.200,-0.590
182.203,-0.610
182.206,-0.640
