1133.022,-0.240
1133.025,-0.255
1133.028,-0.275
1133.031,-0.260
1133.033,-0.260
1133.036,-0.250
1133.039,-0.245
1133.042,-0.255
1133.044,-0.285
1133.047,-0.280
1133.050,-0.260
1133.053,-0.245
1133.056,-0.250
1133.058,-0.245
1133.061,-0.255
1133.064,-0.260
1133.067,-0.245
1133.069,-0.245
1133.072,-0.225
1133.075,-0.250
1133.078,-0.245
1133.081,-0.240
1133.083,-0.225
1133.086,-0.205
1133.089,-0.190
1133.092,-0.170
1133.094,-0.150
1133.097,-0.095
1133.100,-0.045
1133.103,0.020
1133.106,0.110
1133.108,0.195
1133.111,0.300
1133.114,0.440
1133.117,0.565
1133.119,0.680
1133.122,0.745
1133.125,0.765
1133.128,0.725
1133.131,0.650
1133.133,0.495
1133.136,0.360
1133.139,0.285
1133.142,0.185
1133.144,0.040
1133.147,-0.110
1133.150,-0.245
1133.153,-0.335
1133.156,-0.410
1133.158,-0.485
1133.161,-0.540
1133.164,-0.585
1133.167,-0.580
1133.169,-0.590
1133.172,-0.625
1133.175,-0.665
1133.178,-0.680
1133.181,-0.690
1133.183,-0.685
1133.186,-0.660
1133.189,-0.645
1133.192,-0.625
1133.194,-0.575
1133.197,-0.505
1133.200,-0.440
1133.203,-0.375
1133.206,-0.340
1133.208,-0.340
1133.211,-0.340
1133.214,-0.330
1133.217,-0.285
1133.219,-0.260
1133.222,-0.250
