0.000,0.057,0.109,0.055,0.160,0.038,0.096,0.145,0.161,0.143,0.064,0.069,0.119,0.110,0.085,0.101,0.141,0.439,0.052,0.059
0.057,0.000,0.074,0.047,0.153,0.064,0.062,0.126,0.136,0.130,0.035,0.051,0.104,0.097,0.066,0.076,0.114,0.435,0.049,0.042
0.109,0.074,0.000,0.092,0.120,0.108,0.080,0.103,0.150,0.113,0.074,0.068,0.068,0.114,0.114,0.061,0.126,0.408,0.093,0.079
0.055,0.047,0.092,0.000,0.142,0.060,0.057,0.112,0.109,0.134,0.027,0.054,0.102,0.067,0.038,0.075,0.097,0.412,0.027,0.044
0.160,0.153,0.120,0.142,0.000,0.147,0.133,0.103,0.182,0.086,0.134,0.108,0.097,0.138,0.161,0.102,0.146,0.394,0.143,0.128
0.038,0.064,0.108,0.060,0.147,0.000,0.085,0.150,0.165,0.136,0.060,0.069,0.125,0.120,0.088,0.106,0.149,0.450,0.067,0.068
0.096,0.062,0.080,0.057,0.133,0.085,0.000,0.118,0.110,0.130,0.040,0.068,0.113,0.092,0.060,0.081,0.102,0.429,0.076,0.072
0.145,0.126,0.103,0.112,0.103,0.150,0.118,0.000,0.117,0.100,0.112,0.092,0.055,0.070,0.124,0.061,0.074,0.342,0.103,0.100
0.161,0.136,0.150,0.109,0.182,0.165,0.110,0.117,0.000,0.185,0.115,0.135,0.146,0.073,0.085,0.124,0.067,0.364,0.115,0.130
0.143,0.130,0.113,0.134,0.086,0.136,0.130,0.100,0.185,0.000,0.124,0.088,0.089,0.133,0.152,0.086,0.132,0.421,0.128,0.105
0.064,0.035,0.074,0.027,0.134,0.060,0.040,0.112,0.115,0.124,0.000,0.045,0.097,0.080,0.048,0.068,0.100,0.421,0.043,0.042
0.069,0.051,0.068,0.054,0.108,0.069,0.068,0.092,0.135,0.088,0.045,0.000,0.070,0.081,0.078,0.041,0.098,0.417,0.050,0.023
0.119,0.104,0.068,0.102,0.097,0.125,0.113,0.055,0.146,0.089,0.097,0.070,0.000,0.091,0.126,0.045,0.108,0.364,0.091,0.081
0.110,0.097,0.114,0.067,0.138,0.120,0.092,0.070,0.073,0.133,0.080,0.081,0.091,0.000,0.067,0.072,0.048,0.363,0.061,0.076
0.085,0.066,0.114,0.038,0.161,0.088,0.060,0.124,0.085,0.152,0.048,0.078,0.126,0.067,0.000,0.093,0.085,0.418,0.054,0.068
0.101,0.076,0.061,0.075,0.102,0.106,0.081,0.061,0.124,0.086,0.068,0.041,0.045,0.072,0.093,0.000,0.081,0.393,0.069,0.050
0.141,0.114,0.126,0.097,0.146,0.149,0.102,0.074,0.067,0.132,0.100,0.098,0.108,0.048,0.085,0.081,0.000,0.373,0.094,0.095
0.439,0.435,0.408,0.412,0.394,0.450,0.429,0.342,0.364,0.421,0.421,0.417,0.364,0.363,0.418,0.393,0.373,0.000,0.402,0.420
0.052,0.049,0.093,0.027,0.143,0.067,0.076,0.103,0.115,0.128,0.043,0.050,0.091,0.061,0.054,0.069,0.094,0.402,0.000,0.037
0.059,0.042,0.079,0.044,0.128,0.068,0.072,0.100,0.130,0.105,0.042,0.023,0.081,0.076,0.068,0.050,0.095,0.420,0.037,0.000
