895.064,0.535
895.067,0.520
895.069,0.505
895.072,0.500
895.075,0.490
895.078,0.475
895.081,0.475
895.083,0.470
895.086,0.460
895.089,0.445
895.092,0.410
895.094,0.360
895.097,0.330
895.100,0.295
895.103,0.270
895.106,0.240
895.108,0.205
895.111,0.195
895.114,0.175
895.117,0.155
895.119,0.130
895.122,0.100
895.125,0.060
895.128,0.045
895.131,0.015
895.133,-0.015
895.136,-0.035
895.139,-0.085
895.142,-0.110
895.144,-0.140
895.147,-0.165
895.150,-0.180
895.153,-0.170
895.156,-0.205
895.158,-0.220
895.161,-0.245
895.164,-0.250
895.167,-0.275
895.169,-0.275
895.172,-0.270
895.175,-0.255
895.178,-0.240
895.181,-0.215
895.183,-0.205
895.186,-0.205
895.189,-0.205
895.192,-0.205
895.194,-0.205
895.197,-0.180
895.200,-0.145
895.203,-0.115
895.206,-0.105
895.208,-0.060
895.211,-0.045
895.214,-0.035
895.217,-0.015
895.219,0.015
895.222,0.020
895.225,0.035
895.228,0.055
895.231,0.075
895.233,0.070
895.236,0.050
895.239,0.030
895.242,-0.010
895.244,-0.050
895.247,-0.100
895.250,-0.150
895.253,-0.190
895.256,-0.225
895.258,-0.250
895.261,-0.265
895.264,-0.270
