0.000,0.111,0.405,0.074,0.243,0.125,0.118,0.112,0.137,0.241,0.055,0.089,0.089,0.101,0.068,0.119,0.092,0.273,0.088,0.071
0.111,0.000,0.304,0.158,0.180,0.106,0.179,0.089,0.168,0.156,0.110,0.092,0.106,0.104,0.137,0.089,0.135,0.215,0.150,0.162
0.405,0.304,0.000,0.427,0.209,0.309,0.418,0.311,0.381,0.191,0.379,0.339,0.365,0.340,0.412,0.310,0.387,0.291,0.408,0.433
0.074,0.158,0.427,0.000,0.248,0.142,0.051,0.124,0.085,0.263,0.054,0.093,0.096,0.092,0.052,0.123,0.068,0.294,0.043,0.019
0.243,0.180,0.209,0.248,0.000,0.126,0.231,0.139,0.198,0.112,0.206,0.165,0.203,0.169,0.240,0.145,0.211,0.223,0.231,0.252
0.125,0.106,0.309,0.142,0.126,0.000,0.142,0.041,0.129,0.152,0.097,0.064,0.110,0.084,0.134,0.071,0.115,0.224,0.132,0.142
0.118,0.179,0.418,0.051,0.231,0.142,0.000,0.126,0.048,0.260,0.077,0.098,0.111,0.090,0.082,0.122,0.075,0.296,0.054,0.059
0.112,0.089,0.311,0.124,0.139,0.041,0.126,0.000,0.107,0.149,0.078,0.038,0.087,0.051,0.115,0.039,0.094,0.217,0.110,0.127
0.137,0.168,0.381,0.085,0.198,0.129,0.048,0.107,0.000,0.228,0.088,0.085,0.107,0.069,0.100,0.096,0.077,0.271,0.071,0.097
0.241,0.156,0.191,0.263,0.112,0.152,0.260,0.149,0.228,0.000,0.219,0.173,0.187,0.175,0.239,0.143,0.212,0.135,0.238,0.269
0.055,0.110,0.379,0.054,0.206,0.097,0.077,0.078,0.088,0.219,0.000,0.052,0.076,0.060,0.064,0.083,0.067,0.265,0.062,0.056
0.089,0.092,0.339,0.093,0.165,0.064,0.098,0.038,0.085,0.173,0.052,0.000,0.058,0.026,0.080,0.036,0.060,0.222,0.076,0.099
0.089,0.106,0.365,0.096,0.203,0.110,0.111,0.087,0.107,0.187,0.076,0.058,0.000,0.057,0.056,0.067,0.041,0.200,0.065,0.104
0.101,0.104,0.340,0.092,0.169,0.084,0.090,0.051,0.069,0.175,0.060,0.026,0.057,0.000,0.080,0.033,0.055,0.221,0.070,0.101
0.068,0.137,0.412,0.052,0.240,0.134,0.082,0.115,0.100,0.239,0.064,0.080,0.056,0.080,0.000,0.106,0.040,0.252,0.035,0.061
0.119,0.089,0.310,0.123,0.145,0.071,0.122,0.039,0.096,0.143,0.083,0.036,0.067,0.033,0.106,0.000,0.080,0.198,0.100,0.131
0.092,0.135,0.387,0.068,0.211,0.115,0.075,0.094,0.077,0.212,0.067,0.060,0.041,0.055,0.040,0.080,0.000,0.229,0.030,0.079
0.273,0.215,0.291,0.294,0.223,0.224,0.296,0.217,0.271,0.135,0.265,0.222,0.200,0.221,0.252,0.198,0.229,0.000,0.258,0.301
0.088,0.150,0.408,0.043,0.231,0.132,0.054,0.110,0.071,0.238,0.062,0.076,0.065,0.070,0.035,0.100,0.030,0.258,0.000,0.055
0.071,0.162,0.433,0.019,0.252,0.142,0.059,0.127,0.097,0.269,0.056,0.099,0.104,0.101,0.061,0.131,0.079,0.301,0.055,0.000
