0.000,0.077,0.094,0.039,0.097,0.156,0.230,0.143,0.203,0.057,0.065,0.051,0.044,0.125,0.095,0.082,0.100,0.259,0.085,0.139
0.077,0.000,0.146,0.063,0.069,0.081,0.296,0.114,0.262,0.071,0.088,0.087,0.052,0.093,0.055,0.094,0.157,0.247,0.139,0.207
0.094,0.146,0.000,0.096,0.125,0.223,0.156,0.138,0.117,0.103,0.072,0.061,0.097,0.135,0.127,0.077,0.017,0.212,0.013,0.074
0.039,0.063,0.096,0.000,0.062,0.142,0.236,0.112,0.206,0.070,0.038,0.040,0.020,0.092,0.065,0.054,0.104,0.230,0.088,0.153
0.097,0.069,0.125,0.062,0.000,0.123,0.267,0.060,0.231,0.101,0.058,0.072,0.055,0.036,0.025,0.050,0.135,0.184,0.119,0.194
0.156,0.081,0.223,0.142,0.123,0.000,0.375,0.149,0.339,0.139,0.163,0.165,0.131,0.134,0.108,0.163,0.235,0.277,0.217,0.287
0.230,0.296,0.156,0.236,0.267,0.375,0.000,0.275,0.053,0.254,0.214,0.211,0.244,0.274,0.276,0.219,0.143,0.291,0.161,0.100
0.143,0.114,0.138,0.112,0.060,0.149,0.275,0.000,0.232,0.130,0.091,0.103,0.100,0.027,0.059,0.073,0.149,0.135,0.136,0.210
0.203,0.262,0.117,0.206,0.231,0.339,0.053,0.232,0.000,0.217,0.180,0.175,0.211,0.234,0.238,0.181,0.106,0.247,0.124,0.078
0.057,0.071,0.103,0.070,0.101,0.139,0.254,0.130,0.217,0.000,0.083,0.063,0.057,0.119,0.086,0.090,0.114,0.249,0.097,0.158
0.065,0.088,0.072,0.038,0.058,0.163,0.214,0.091,0.180,0.083,0.000,0.027,0.040,0.077,0.065,0.021,0.082,0.199,0.067,0.137
0.051,0.087,0.061,0.040,0.072,0.165,0.211,0.103,0.175,0.063,0.027,0.000,0.037,0.091,0.072,0.037,0.071,0.210,0.053,0.126
0.044,0.052,0.097,0.020,0.055,0.131,0.244,0.100,0.211,0.057,0.040,0.037,0.000,0.082,0.051,0.050,0.106,0.223,0.089,0.158
0.125,0.093,0.135,0.092,0.036,0.134,0.274,0.027,0.234,0.119,0.077,0.091,0.082,0.000,0.040,0.061,0.145,0.156,0.131,0.206
0.095,0.055,0.127,0.065,0.025,0.108,0.276,0.059,0.238,0.086,0.065,0.072,0.051,0.040,0.000,0.058,0.138,0.191,0.122,0.197
0.082,0.094,0.077,0.054,0.050,0.163,0.219,0.073,0.181,0.090,0.021,0.037,0.050,0.061,0.058,0.000,0.087,0.179,0.072,0.146
0.100,0.157,0.017,0.104,0.135,0.235,0.143,0.149,0.106,0.114,0.082,0.071,0.106,0.145,0.138,0.087,0.000,0.217,0.018,0.062
0.259,0.247,0.212,0.230,0.184,0.277,0.291,0.135,0.247,0.249,0.199,0.210,0.223,0.156,0.191,0.179,0.217,0.000,0.214,0.267
0.085,0.139,0.013,0.088,0.119,0.217,0.161,0.136,0.124,0.097,0.067,0.053,0.089,0.131,0.122,0.072,0.018,0.214,0.000,0.077
0.139,0.207,0.074,0.153,0.194,0.287,0.100,0.210,0.078,0.158,0.137,0.126,0.158,0.206,0.197,0.146,0.062,0.267,0.077,0.000
