0.000,0.061,0.109,0.055,0.161,0.038,0.097,0.147,0.161,0.144,0.066,0.070,0.121,0.110,0.085,0.101,0.142,0.470,0.054,0.059
0.061,0.000,0.077,0.050,0.153,0.068,0.071,0.126,0.138,0.131,0.035,0.053,0.104,0.101,0.069,0.079,0.116,0.457,0.050,0.044
0.109,0.077,0.000,0.092,0.121,0.108,0.081,0.105,0.150,0.113,0.075,0.068,0.070,0.114,0.114,0.061,0.126,0.439,0.094,0.079
0.055,0.050,0.092,0.000,0.142,0.060,0.059,0.114,0.109,0.134,0.029,0.054,0.103,0.068,0.038,0.076,0.097,0.442,0.029,0.044
0.161,0.153,0.121,0.142,0.000,0.148,0.136,0.103,0.183,0.087,0.134,0.109,0.097,0.140,0.162,0.104,0.147,0.422,0.143,0.128
0.038,0.068,0.108,0.060,0.148,0.000,0.086,0.152,0.165,0.137,0.061,0.070,0.126,0.120,0.088,0.106,0.149,0.479,0.068,0.068
0.097,0.071,0.081,0.059,0.136,0.086,0.000,0.124,0.110,0.131,0.049,0.070,0.117,0.093,0.062,0.081,0.103,0.464,0.081,0.075
0.147,0.126,0.105,0.114,0.103,0.152,0.124,0.000,0.121,0.102,0.113,0.094,0.056,0.077,0.126,0.067,0.077,0.368,0.104,0.102
0.161,0.138,0.150,0.109,0.183,0.165,0.110,0.121,0.000,0.185,0.117,0.136,0.148,0.073,0.086,0.124,0.068,0.402,0.117,0.131
0.144,0.131,0.113,0.134,0.087,0.137,0.131,0.102,0.185,0.000,0.124,0.088,0.090,0.134,0.152,0.086,0.133,0.450,0.128,0.105
0.066,0.035,0.075,0.029,0.134,0.061,0.049,0.113,0.117,0.124,0.000,0.045,0.097,0.083,0.050,0.070,0.101,0.446,0.043,0.043
0.070,0.053,0.068,0.054,0.109,0.070,0.070,0.094,0.136,0.088,0.045,0.000,0.071,0.083,0.079,0.042,0.098,0.446,0.051,0.023
0.121,0.104,0.070,0.103,0.097,0.126,0.117,0.056,0.148,0.090,0.097,0.071,0.000,0.094,0.127,0.049,0.108,0.393,0.091,0.081
0.110,0.101,0.114,0.068,0.140,0.120,0.093,0.077,0.073,0.134,0.083,0.083,0.094,0.000,0.068,0.072,0.049,0.401,0.065,0.078
0.085,0.069,0.114,0.038,0.162,0.088,0.062,0.126,0.086,0.152,0.050,0.079,0.127,0.068,0.000,0.093,0.085,0.448,0.055,0.068
0.101,0.079,0.061,0.076,0.104,0.106,0.081,0.067,0.124,0.086,0.070,0.042,0.049,0.072,0.093,0.000,0.081,0.426,0.070,0.051
0.142,0.116,0.126,0.097,0.147,0.149,0.103,0.077,0.068,0.133,0.101,0.098,0.108,0.049,0.085,0.081,0.000,0.406,0.095,0.095
0.470,0.457,0.439,0.442,0.422,0.479,0.464,0.368,0.402,0.450,0.446,0.446,0.393,0.401,0.448,0.426,0.406,0.000,0.429,0.448
0.054,0.050,0.094,0.029,0.143,0.068,0.081,0.104,0.117,0.128,0.043,0.051,0.091,0.065,0.055,0.070,0.095,0.429,0.000,0.037
0.059,0.044,0.079,0.044,0.128,0.068,0.075,0.102,0.131,0.105,0.043,0.023,0.081,0.078,0.068,0.051,0.095,0.448,0.037,0.000
